Name,Year,Please,Type,Mass,Location,Notes
Tautiæ**,1937,"Cluj, Romania",L6,21 kg,"(46.716670, 23.500000)ææ",
Tenham,1879,"Queensland, Australia",L6,160 kg,"(-25.733330, 142.950000)ææ",
Tennasilm,1872,Estonia,L4,28.5 kg,"(58.033330, 26.950000)ææ",
Terranova di Sibari,1755,"Calabria, Italy",Doubtful meteorite,3.5 kg,"(39.333330, 16.333330)ææ",
Thalæ**,1950,"North-west Frontier, Pakistan",H6,342 g,"(33.400000, 70.600000)ææ",
Thikaæ**,2011,"Central, Kenya",L6,14.2 kg,"(-1.002780, 37.150280)ææ",
Thrace,452,Greece,Doubtful meteorite,,"(41.666670, 25.000000)ææ",
Thuatheæ**,2002,"Berea, Lesotho",H4/5,45.3 kg,"(-29.333330, 27.583330)ææ",
Tianzhangæ**,1986,"Anhui, China",H5,2.23 kg,"(32.946670, 118.990000)ææ",
Tieschitz,1878,"Olomouck_, Czech Republic",H/L3.6,28 kg,"(49.600000, 17.116670)ææ",
Tilden,1927,"Illinois, USA",L6,74.8 kg,"(38.200000, -89.683330)ææ",
Tillaberiæ**,1970,"Niamey, Niger",L6,3 kg,"(14.250000, 1.533330)ææ",
Timochin,1807,"Kaluzhskaya oblast', Russia",H5,65.5 kg,"(54.500000, 35.200000)ææ",
Tinajdadæ**,2014,"Centre-South, Morocco",H5,1860 g,"(31.609220, -5.194080)ææ",
Tirhertæ**,2014,"Guelmim-Es-Semara, Morocco",Eucrite-unbr,8 kg,"(28.935000, -8.905000)ææ",
Tirupati,1934,"Andhra Pradesh, India",H6,230 g,"(13.633330, 79.416670)ææ",
Tissintæ**,2011,"Guelmim-Es-Semara, Morocco",Martian (shergottite),7 kg,"(29.481950, -7.611230)ææ",
Tjabe,1869,"Jawa Tengah, Indonesia",H6,20 kg,"(-7.083330, 111.533330)ææ",
Tjerebon,1922,"Jawa Barat, Indonesia",L5,16.5 kg,"(-6.666670, 106.583330)ææ",
Tomakovka,1905,"Dnepropetrovsk, Ukraine",LL6,600 g,"(47.850000, 34.766670)ææ",
Tomatlan,1879,"Jalisco, Mexico",H6,900 g,"(20.166670, -105.216670)ææ",
Tomita,1916,"Chugoku, Japan",L,600 g,"(34.500000, 133.750000)ææ",
Tomiyaæ**,1984,"Tohoku, Japan",H4/5,27.5 g,"(38.366670, 140.865560)ææ",
Tonk,1911,"Rajasthan, India",CI1,7.7 g,"(24.650000, 76.866670)ææ",
Torgau,1561,"Sachsen, Germany",Doubtful meteorite,157 g,"(51.566670, 13.050000)ææ",
Torinoæ**,1988,"Piemonte, Italy",H6,977 g,"(45.066670, 7.666670)ææ",
Torrington,1944,"Wyoming, USA",H6,259 g,"(42.066670, -104.166670)ææ",
Toulouse,1812,"Midi-Pyrenees, France",H6,1030 g,"(43.600000, 1.400000)ææ",
Tounkin,1824,"Respublika Buryatiya, Russia",OC,2 kg,"(51.733330, 102.533330)ææ",
Tourinnes-la-Grosse,1863,"Walloon Brabant, Belgium",L6,14.5 kg,"(50.783330, 4.766670)ææ",
Trebbinæ**,1988,"Brandenburg, Germany",LL6,1250 g,"(52.216670, 13.166670)ææ",
Tregnie,1622,UK,Doubtful meteorite,1250 g,,
Trenzano,1856,"Lombardia, Italy",H3/4,11.8 kg,"(45.466670, 10.000000)ææ",
Treysa,1916,"Hessen, Germany","Iron, IIIAB-an",63 kg,"(50.916670, 9.183330)ææ",
TromÀy,1950,"Aust-Agder, Norway",H,357 g,"(58.473330, 8.866670)ææ",
Troup,1917,"Texas, USA",L6,1020 g,"(32.166670, -95.100000)ææ",
Trysil,1927,"Hedmark, Norway",L/LL6,640 g,"(61.300000, 12.300000)ææ",
Tsukubaæ**,1996,"Kanto, Japan",H5-6,800 g,"(36.063330, 140.145000)ææ",
Tuan Tuc,1921,"Can Tho, Vietnam",L6,13.1 kg,"(9.666670, 105.666670)ææ",
Tugalin-Bulenæ**,1967,"Dundgovi, Mongolia",H6,10 kg,"(45.466670, 105.383330)ææ",
Tulung Dzong,1944,"Xizang, China",Stone-uncl,,"(30.000000, 90.750000)ææ",
Tunguskaæ**,1908,"Evenkiyskiy avtonomnyy okrug, Russia",Unknown,13.4 g,"(60.900000, 101.950000)ææ",
Turin,1782,"Piemonte, Italy",Doubtful meteorite,8 kg,"(45.066670, 7.683330)ææ",
Turtle Lakeæ**,1996,"Wisconsin, USA",L5,89.3 g,"(45.345830, -92.051670)ææ",
Tuxtuacæ**,1975,"Zacatecas, Mexico",LL5,30 kg,"(21.666670, -103.366670)ææ",
Tysnes Island,1884,"Hordaland, Norway",H4,19.86 kg,"(60.000000, 5.616670)ææ",
Tyumenæ**,1903,"Tyumenskaya oblast', Russia",Iron,750 g,"(57.166670, 65.533330)ææ",
Uberaba,1903,"Minas Gerais, Brazil",H5,40 kg,"(-19.816670, -48.783330)ææ",
Uceraæ**,1970,"Falcon, Venezuela",H5,4.59 kg,"(11.050000, -69.850000)ææ",
Uchkudukæ**,1989,"Navoi, Uzbekistan",L6,1000 g,"(41.766670, 62.516670)ææ",
Udaipur,1976,India,H3,2 kg,,
Udei Station,1927,"Benue, Nigeria","Iron, IAB-ung",103 kg,"(7.950000, 8.083330)ææ",
Uden,1840,"Noord-Brabant, Netherlands",LL7,710 g,"(51.650000, 5.616670)ææ",
Udipi,1866,"Karnataka, India",H5,3.6 kg,"(13.483330, 74.783330)ææ",
Ufanaæ**,1957,"Arusha, Tanzania",EL6,189.2 g,"(-4.266670, 35.350000)ææ",
Ulmiz,1926,"Fribourg, Switzerland",L,76.5 g,"(46.933330, 7.216670)ææ",
Umbala,1822,"Punjab, India",LL5,100 g,"(30.333330, 76.333330)ææ",
Umm Ruabaæ**,1966,"Kurdufan, Sudan",L5,1700 g,"(13.466670, 31.216670)ææ",
Umm Ruaba (b),1983,Sudan,L4,,,
Undulungæ**,1986,"Respublika Sakha(Yakutiya), Russia",L4,113.4 g,"(66.138890, 124.766670)ææ",
Unkoku,1924,"Cholla-namdo, South Korea",OC,1000 g,"(34.800000, 127.000000)ææ",
Urasaki,1926,"Chugoku, Japan",Stone-uncl,1500 g,"(34.483330, 133.283330)ææ",
Usti Nad Orlici**,1963,"Pardubick_, Czech Republic",L6,1269 g,"(49.975000, 16.375000)ææ",
Utrecht,1843,"Utrecht, Netherlands",L6,9.7 kg,"(52.116670, 5.183330)ææ",
Utzenstorf,1928,"Bern, Switzerland",H5,3.42 kg,"(47.116670, 7.550000)ææ",
Uzcudunæ**,1948,"Chubut, Argentina",L,20 kg,"(-44.116670, -66.150000)ææ",
Vago,1668 or 1688,"Veneto, Italy",H6,40 g,"(45.416670, 11.133330)ææ",
Valdavur,1944,"Pondicherry, India",H6,2.8 kg,"(11.983330, 79.750000)ææ",
Valdinizza,1903,"Lombardia, Italy",L6,1004 g,"(44.866670, 9.150000)ææ",
Valdinoce,1496,"Emilia-Romagna, Italy",Stone-uncl,,"(44.066670, 12.100000)ææ",
Valeraæ**,1972,"Trujillo, Venezuela",L5,50 kg,"(9.316670, -70.628330)ææ",
Varre-Saiæ**,2010,"Rio de Janeiro, Brazil",L5,2.5 kg,"(-20.850010, -41.733560)ææ",
Vavilovka,1876,"Kherson, Ukraine",LL6,1932 g,"(46.150000, 32.833330)ææ",
Velikoi-Ustyugæ**,1250,"Vologodskaya oblast', Russia",Doubtful meteorite,,"(60.783330, 46.366670)ææ",
Vengerovo,1950,"Novosibirskaya oblast', Russia",H5,10.8 kg,"(56.133330, 77.266670)ææ",
Veraminæ**,1880,"Tehran, Iran",Mesosiderite-B2,54 kg,"(35.333330, 51.633330)ææ",
Verkhne Tschirskaia,1843,"Volgogradskaya oblast', Russia",H5,8 kg,"(48.416670, 43.200000)ææ",
Vernon County,1865,"Wisconsin, USA",H6,1500 g,"(43.500000, -91.166670)ææ",
Vetlugaæ**,1949,"Nizhegorodskaya oblast', Russia",Eucrite-mmict,750 g,"(57.800000, 45.800000)ææ",
Vicnciaæ**,2013,"Pernambuco, Brazil",LL3.2,1540 g,"(-7.708330, -35.427670)ææ",
Vigarano,1910,"Emilia-Romagna, Italy",CV3,15 kg,"(44.850000, 11.400000)ææ",
Villalbeto de la PeĞa**,2004,"Castilla y Leon, Spain",L6,3.5 kg,"(42.800000, -4.666670)ææ",
Villarrica,1925,"Guaira, Paraguay",Stone-uncl,,"(-25.833330, -56.500000)ææ",
Vilnaæ**,1967,"Alberta, Canada",L5,0.1 g,"(54.225000, -111.691670)ææ",
Virba,1873,"Mikhaylovgrad, Bulgaria",L6,3.6 kg,"(43.533330, 22.633330)ææ",
Vishnupur,1906,"West Bengal, India",LL4-6,2.44 kg,"(23.100000, 87.433330)ææ",
Vissannapetaæ**,1997,"Andhra Pradesh, India",Eucrite-cm,1304 g,"(16.833330, 80.750000)ææ",
Visuni,1915,"Sind, Pakistan",H6,594 g,"(25.450000, 70.000000)ææ",
Viterbo,1474,"Lazio, Italy",Doubtful meteorite,594 g,"(42.416670, 12.116670)ææ",
Vouill_,1831,"Poitou-Charentes, France",L6,20 kg,"(46.633330, 0.166670)ææ",
Walkringen,1698,"Bern, Switzerland",Doubtful stone,,"(46.950000, 7.633330)ææ",
Walters,1946,"Oklahoma, USA",L6,28.1 kg,"(34.333330, -98.300000)ææ",
Warrenton,1877,"Missouri, USA",CO3.7,1600 g,"(38.683330, -91.150000)ææ",
Washougal,1939,"Washington, USA",Howardite,225 g,"(45.583330, -122.350000)ææ",
Werdamaæ**,2006,"Al Jabal al Akhdar, Libya",H5,4 kg,"(32.797320, 21.787130)ææ",
Wessely,1831,"Jihomoravsky, Czech Republic",H5,3.75 kg,"(48.950000, 17.383330)ææ",
Westonæ**,1807,"Connecticut, USA",H4,150 kg,"(41.266667, -73.266667)ææ",
Wethersfield (1971)æ**,1971,"Connecticut, USA",L6,350 g,"(41.700000, -72.650000)ææ",
Wethersfield (1982)æ**,1982,"Connecticut, USA",L6,2.76 kg,"(41.710560, -72.673610)ææ",
Whetstone Mountains**,2009,"Arizona, USA",H5,2.14 kg,"(31.938626, -110.424477)ææ",
Wilunaæ**,1967,"Western Australia, Australia",H5,150 kg,"(-26.592780, 120.328330)ææ",
Witklip Farm,1918,"Mpumalanga, South Africa",H5,22 g,"(-26.000000, 30.000000)ææ",
Witsand Farm,1932,"Karasburg, Namibia",LL4,66 g,"(-28.666670, 18.916670)ææ",
Wittekrantz,1880,"Western Cape, South Africa",L5,2.2 kg,"(-32.500000, 23.000000)ææ",
Wolamoæ**,1964,"Shewa, Ethiopia",OC,166.4 g,"(9.000000, 39.000000)ææ",
Wolcottæ**,2013,"Connecticut, USA",L5,838 g,"(41.607530, -73.012370)ææ",
Wold Cottage,1795,"England, UK",L6,25 kg,"(54.136670, -0.413330)ææ",
Woodbridge,1642,"England, UK",Doubtful meteorite,1800 g,"(52.100000, 1.316670)ææ",
Woolgorongæ**,1960,"Western Australia, Australia",L6,36 kg,"(-27.750000, 115.833330)ææ",
Wordenæ**,1997,"Michigan, USA",L5,1551 g,"(42.384670, -83.611500)ææ",
Wuanæ**,1986,"Hebei, China",H6,50 kg,"(36.750000, 114.250000)ææ",
Wuzhi,1931,"Henan, China",Stone-uncl,,"(35.133330, 113.333330)ææ",
Xi Ujimgin,1980,"Nei Mongol, China",L/LL6-an,5.9 kg,"(44.666670, 117.500000)ææ",
Xingyang,1977,"Henan, China",H6,75.5 kg,"(32.333330, 114.316670)ææ",
Xiningæ**,2012,"Qinghai, China",L5,100 kg,"(36.859920, 101.426030)ææ",
Yaddlethorpe,1963,"England, UK",Pseudometeorite,5.9 kg,"(53.550000, -0.650000)ææ",
Yafaæ**,2000,"Abyan, Yemen",H5,5.7 kg,"(13.711110, 45.170000)ææ",
Yakushima,1902,"Kyushu, Japan",Doubtful stone,46.5 g,"(30.333330, 130.500000)ææ",
Yamboæ**,1951,"Equateur, Congo - Dem. Rep.",H5,4 g,"(1.000000, 22.500000)ææ",
Yangchiang,1954,"Guangdong, China",H5,20 kg,"(21.833330, 111.833330)ææ",
Yanzhuangæ**,1990,"Guangdong, China",H6,3.5 kg,"(24.566670, 114.166670)ææ",
Yardymlyæ**,1959,"Baku, Azerbaijan","Iron, IAB complex",150.2 kg,"(38.933330, 48.250000)ææ",
Yatoor,1852,"Andhra Pradesh, India",H5,13.6 kg,"(14.300000, 79.766670)ææ",
Yonozu,1837,"Tohoku, Japan",H4/5,31.65 kg,"(37.750000, 139.000000)ææ",
Yorkshire,1360,"England, UK",Doubtful meteorite,2 g,"(54.000000, -1.000000)ææ",
Yorktown (New York)**,1869,"New York, USA",L5,250 g,"(41.283330, -73.816670)ææ",
Yoshiki,1928,"Chugoku, Japan",Stone-uncl,0.1 g,"(34.166670, 131.450000)ææ",
Yukan,1931,"Jiangxi, China",LL6,4.8 kg,"(28.716670, 116.616670)ææ",
Yurtuk,1936,"Zaporozh'ye, Ukraine",Howardite,1472 g,"(47.316670, 35.366670)ææ",
Zaborzika,1818,"Zhitomir, Ukraine",L6,3.87 kg,"(50.283330, 27.683330)ææ",
Zabrodje,1893,"Vitebsk, Belarus",L6,3 kg,"(55.183330, 27.916670)ææ",
Zagæ**,1998,"Saguia el Hamra, Western Sahara",H3-6,175 kg,"(27.333330, -9.333330)ææ",
Zagami,1962,"Katsina, Nigeria",Martian (shergottite),18 kg,"(11.733330, 7.083330)ææ",
Zaisanæ**,1963,"Semipalatinsk, Kazakhstan",H5,463 g,"(47.500000, 83.000000)ææ",
Zaishoæ**,1898,"Shikoku, Japan","Pallasite, PMG-an",330 g,"(33.700000, 133.800000)ææ",
Zaoyangæ**,1984,"Hubei, China",H5,14.25 kg,"(32.300000, 112.750000)ææ",
Zavetnoeæ**,1952,"Rostovskaya oblast', Russia",L6,800 g,"(47.133330, 43.900000)ææ",
Zavid,1897,Bosnia and Herzegovina,L6,95 kg,"(44.400000, 19.116670)ææ",
_d'àr nad Sàzavou**,2014,"Vysocina, Czech Republic",L3,45 g,"(49.521670, 16.033330)ææ",
Zebrak,1824,"Stredocesky, Czech Republic",H5,2 kg,"(49.883330, 13.916670)ææ",
Zemaitkiemis,1933,Lithuania,L6,44.1 kg,"(55.300000, 25.000000)ææ",
Zhaodongæ**,1984,"Heilongjiang, China",L4,42 kg,"(45.816670, 125.916670)ææ",
Zhovtnevyi,1938,"Donetsk, Ukraine",H6,107 kg,"(47.583330, 37.250000)ææ",
Zhuanghe,1976,"Liaoning, China",H5,2.9 kg,"(39.666670, 122.983330)ææ",
Zmenj,1858,"Brest, Belarus",Howardite,246 g,"(51.833330, 26.833330)ææ",
Zomba,1899,"Southern, Malawi",L6,7.5 kg,"(-15.183330, 35.283330)ææ",
Zsadany,1875,"Bekes, Hungary",H5,552 g,"(46.933330, 21.500000)ææ",
Zvonkovæ**,1955,"Kiev, Ukraine",H6,2.57 kg,"(50.200000, 30.250000)ææ",
