Name,Fall,Year,Place,Type,Mass,Lat, Long,
Northwest Africa 5800,FALSE,1982,(Northwest Africa),Unknown,89.7 g,-84.25054,161.38681,
Dhofar 1169,FALSE,1826,Oman,Unknown,,-84.21667,160.5,
Bocas,TRUE,1804,"San Luis Potosi, Mexico",L6,56 g,-86.71667,-141.5,
Darmstadt,TRUE,1804,"Hessen, Germany",H5,100 g,-86.71667,-141.5,
High Possil,TRUE,1804,"Scotland, UK",L6,4.5 kg,-86.71667,-141.5,
Charcas,FALSE,1804,"San Luis Potosi, Mexico","Iron, IIIAB",1.4 t,-86.71667,-141.5,
Durango,FALSE,1804,Mexico,"Iron, IIIAB",164 kg,-86.71667,-141.5,
Misteca,FALSE,1804,"Oaxaca, Mexico","Iron, ungrouped",10 kg,-86.71667,-141.5,
Northwest Africa 645,FALSE,1979,(Northwest Africa),Unknown,101.6 g,-85.69187,-69.08121,
Northwest Africa 2410,FALSE,1913,(Northwest Africa),Unknown,,-85.67781,-68.77884,
Northwest Africa 5694,FALSE,1817,(Northwest Africa),Unknown,147 g,-84.25055,161.40314,
Asco,TRUE,1805,"Corse, France",H6,41 g,-86.71667,-141.5,
Constantinople,TRUE,1805,"Istanbul, Turkey",Doubtful eucrite,,-86.71667,-141.5,
Doroninsk,TRUE,1805,"Chitinskaya oblast', Russia",H5-7,3.89 kg,-86.71667,-141.5,
Bitburg,FALSE,1805,"Rheinland-Pfalz, Germany","Iron, IAB complex",1.5 t,-86.71667,-141.5,
Dhofar 1254,FALSE,1897,Oman,Unknown,,-86.71667,-141.5,
Jiddat al Harasis 772,FALSE,1936,"Al Wusta, Oman",H4,39.6 g,-86.71667,-141.5,
Northwest Africa 1722,FALSE,1826,(Northwest Africa),Unknown,70 g,-85.6811,-68.08675,
Dhofar 878,FALSE,1952,Oman,Unknown,,-85.63333,-68.7,
Jiddat al Harasis 749,FALSE,1944,"Al Wusta, Oman",L5,33 g,-84.63091,162.5346,
Northwest Africa 2402,FALSE,1812,(Northwest Africa),Unknown,,-84.57865,162.05506,
Northwest Africa 704,FALSE,1988,(Northwest Africa),Unknown,694 g,-84.57552,162.5708,
Northwest Africa 690,FALSE,1929,(Northwest Africa),Unknown,700 g,-84.34658,161.32478,
Northwest Africa 5627,FALSE,1923,(Northwest Africa),Unknown,3.52 kg,-84.24695,161.41842,
Northwest Africa 1444,FALSE,1937,(Northwest Africa),Unknown,225 g,-84.23203,161.44299,
Northwest Africa 1315,FALSE,1879,(Northwest Africa),Unknown,80 g,-84,168,
Alais,TRUE,1806,"Languedoc-Roussillon, France",CI1,6 kg,-86.71667,-141.5,
Basingstoke,TRUE,1806,"England, UK",Doubtful meteorite,1100 g,-86.71667,-141.5,
Glastonbury,TRUE,1806,"England, UK",Doubtful meteorite,1100 g,-86.71667,-141.5,
Northwest Africa 431,FALSE,1953,(Northwest Africa),Unknown,492 g,-86.71667,-141.5,
Northwest Africa 5533,FALSE,1845,(Northwest Africa),Unknown,488 g,-85.66018,-68.53737,
Northwest Africa 2686,FALSE,1988,(Northwest Africa),Unknown,,-84.57535,162.94324,
Northwest Africa 378,FALSE,1954,(Northwest Africa),Unknown,355 g,-84.27575,161.41114,
Northwest Africa 1111,FALSE,1882,(Northwest Africa),Unknown,40 g,-84.24712,161.45428,
Northwest Africa 320,FALSE,1936,(Northwest Africa),Unknown,1950 g,-84,168,
Northwest Africa 1124,FALSE,1921,(Northwest Africa),Unknown,131 g,-76.26879,156.52139,
Northwest Africa 1413,FALSE,1944,(Northwest Africa),Unknown,351 g,-72.955,160.52806,
Northwest Africa 652,FALSE,1953,(Northwest Africa),Unknown,1570 g,-86.71667,-141.5,
Timochin,TRUE,1807,"Kaluzhskaya oblast', Russia",H5,65.5 kg,-86.71667,-141.5,
Weston**,TRUE,1807,"Connecticut, USA",H4,150 kg,-86.71667,-141.5,
Northwest Africa 908,FALSE,2014,(Northwest Africa),Unknown,1031 g,-85.67782,-69.07762,
Agua Buena 000,FALSE,1842,Chile,Reserved,,-85.63333,-68.7,
Northwest Africa 4101,FALSE,1942,(Northwest Africa),H4,261 g,-85.63333,-68.7,
Northwest Africa 077,FALSE,1826,(Northwest Africa),Unknown,336 g,-84.96163,-67.45795,
Northwest Africa 5651,FALSE,1944,(Northwest Africa),Unknown,200 g,-84.63053,162.50492,
Bamenda,FALSE,1828,"Nord-Ouest, Cameroon",Pseudometeorite,,-84.34234,161.25139,
Dhofar 889,FALSE,1884,Oman,Unknown,,-84.28986,161.28593,
Northwest Africa 1634,FALSE,1886,(Northwest Africa),Unknown,8.9 g,-84.2546,161.419,
Northwest Africa 5704,FALSE,1903,(Northwest Africa),Unknown,221 g,-84,168,
Borgo San Donino,TRUE,1808,"Emilia-Romagna, Italy",LL6,1676 g,-86.71667,-141.5,
